OBJECTID,PRE_DIR_TX,PRE_TYPE_T,NAME_TX,SUF_TYPE_T,SUF_DIR_TX,SUFFIX_TX,FULL_NAME,NEW_NM_ID
131832,,,OLGA,AVENUE,,,OLGA AVE,792249
131888,,,FLOWER,STREET,,,FLOWER ST,793173
131666,,,ST. ANTHONY,STREET,,,ST. ANTHONY ST,794073
131988,,,DERBY,STREET,,,DERBY ST,795148
131996,,,DIVISION,STREET,,,DIVISION ST,795195
131919,,,GOVERNORS,STREET,,,GOVERNORS ST,795387
131778,,,RICE,STREET,,,RICE ST,795421
131700,,,CLIFF,STREET,,,CLIFF ST,796053
131892,,,FIR,COURT,,,FIR CT,796208
131836,,,ONEIDA,AVENUE,,,ONEIDA AVE,796395
131840,,,ORIENT,STREET,,,ORIENT ST,798206
131815,,,SEWARD,STREET,,,SEWARD ST,798230
131975,,,POCASSET,AVENUE,,,POCASSET AVE,799367
131858,,,CROWNINGSHIELD,ROAD,,,CROWNINGSHIELD RD,800152
132024,,,RICE,SQUARE,,,RICE SQ,800165
131850,,,VILLAGE,STREET,,,VILLAGE ST,800173
131846,,,VIELE,AVENUE,,,VIELE AVE,800341
131692,,,CLARK,STREET,,,CLARK ST,800384
131933,,,PEARSON,STREET,,,PEARSON ST,802071
131736,,,CORNING,AVENUE,,,CORNING AVE,803322
131747,,,CRESTON,STREET,,,CRESTON ST,805240
131914,,,GOTHIC,AVENUE,,,GOTHIC AVE,805390
131688,,,CLARENDON,STREET,,,CLARENDON ST,806196
131911,,,GOLDTHWAITE,ROAD,,,GOLDTHWAITE RD,806330
131745,,,CREST,AVENUE,,,CREST AVE,807099
131953,,,PILGRIM,AVENUE,,,PILGRIM AVE,807180
131983,,,DELL,AVENUE,,,DELL AVE,807197
131708,,,COBBLESTONE,LANE,,,COBBLESTONE LN,808400
132013,,,PUTNAM,LANE,,,PUTNAM LN,809227
132012,,,PURITAN,AVENUE,,,PURITAN AVE,810173
131764,,,REBECCA,AVENUE,,,REBECCA AVE,810248
131830,,,CAPRERA,ROAD,,,CAPRERA RD,811245
131972,,,PLEASANT VALLEY,DRIVE,,,PLEASANT VALLEY DR,811333
132034,,,ENAYA,CIRCLE,,,ENAYA CIR,811399
132035,,,MYRA,LANE,,,MYRA LN,811403
131849,,,VILLA NOVA,STREET,,,VILLA NOVA ST,813221
131787,,,HECLA,STREET,,,HECLA ST,813236
131895,,,FIRTH,STREET,,,FIRTH ST,814149
131985,,,DELMONT,AVENUE,,,DELMONT AVE,814180
131645,,,OLAF,STREET,,,OLAF ST,815087
131655,,,WHITEHALL,AVENUE,,,WHITEHALL AVE,815194
131712,,,COLBY,AVENUE,,,COLBY AVE,815304
131738,,,COUNTRY CLUB,BOULEVARD,,,COUNTRY CLUB BLVD,815340
131711,,,COHASSET,STREET,,,COHASSET ST,817179
131899,,,FLETCHER,STREET,,,FLETCHER ST,821209
131866,,,DANIELS,STREET,,,DANIELS ST,822246
131916,,,GOUCHER,AVENUE,,,GOUCHER AVE,823300
131853,,,VINELAND,STREET,,,VINELAND ST,824232
131760,,,RAPHAEL,STREET,,,RAPHAEL ST,826220
131930,,,PEABODY,STREET,,,PEABODY ST,826229
131774,,,REVERE,STREET,,,REVERE ST,827177
131771,,,RENFREW,STREET,,,RENFREW ST,828162
131947,,,PHILLIPS,STREET,,,PHILLIPS ST,828229
131967,,,PLANTATION,TERRACE,,,PLANTATION TER,828240
131852,,,VINCENT,CIRCLE,,,VINCENT CIR,829122
132041,,,CATALINE,STREET,,,CATALINE ST,829355
131729,,,CONSTITUTION,AVENUE,,,CONSTITUTION AVE,829368
131880,,,DENVER,TERRACE,,,DENVER TER,831141
131674,,,FENWOOD,ROAD,,,FENWOOD RD,832144
131772,,,RESEARCH,DRIVE,,,RESEARCH DR,835255
131842,,,ORIOL,DRIVE,,,ORIOL DR,836329
131952,,,PIERPONT,STREET,,,PIERPONT ST,837230
131806,,,SEATTLE,STREET,,,SEATTLE ST,837340
131925,,,KELSEY,DRIVE,,,KELSEY DR,838113
131966,,,PLANTATION,STREET,,,PLANTATION ST,838251
131813,,,SERVICE,ROAD,,,SERVICE RD,840359
131739,,,COUNTY,STREET,,,COUNTY ST,842158
131657,,,JOSEPH P. CARLSON,WAY,,,JOSEPH P. CARLSON WAY,842356
131994,,,DIGREGORIO,DRIVE,,,DIGREGORIO DR,846128
131754,,,RALPH,AVENUE,,,RALPH AVE,846198
131770,,,RENA,STREET,,,RENA ST,846244
131949,,,PHOENIX,STREET,,,PHOENIX ST,848165
132004,,,DUNCANNON,AVENUE,,,DUNCANNON AVE,849140
131659,,,KELLEHER,STREET,,,KELLEHER ST,849156
131723,,,COMMONWEALTH,AVENUE,,,COMMONWEALTH AVE,849179
